fund_name,asset_class,category,classification,aum_cr,expense_ratio,return_1y,return_3y,return_5y,sharpe,std_dev,alpha,beta
SBI Nifty IT ETF,Index Fund,EQ-ETF,Equity : ETF,28462.0,0.35,17.15,9.94,16.53,0.79,12.65,0.04,1.01
SBI Banking Fund-Reg(G),Equity MF,EQ-SEC,Equity : Sectoral/Thematic,2137.0,1.27,34.32,32.0,29.59,1.93,19.3,4.86,0.75
SBI IT Fund-Reg(G),Equity MF,EQ-SEC,Equity : Sectoral/Thematic,14748.0,1.53,6.09,30.51,20.33,1.45,29.51,5.84,0.89
SBI Pharma Fund-Reg(G),Equity MF,EQ-SEC,Equity : Sectoral/Thematic,20532.0,2.03,38.7,25.54,35.72,0.8,21.07,1.19,0.79
SBI Arbitrage Fund-Reg(G),Equity MF,EQ-ARB,Equity : Arbitrage,2909.0,1.19,6.73,5.82,6.59,2.85,1.3,-0.44,0.03
HDFC Large Cap Fund-Reg(G),Equity MF,EQ-LC,Equity : Large Cap,63452.0,1.92,19.79,16.72,21.14,1.28,15.09,3.92,0.93
HDFC Mid Cap Fund-Reg(G),Equity MF,EQ-MC,Equity : Mid Cap,26253.0,1.98,16.37,27.69,23.88,1.45,19.7,-1.83,1.1
HDFC Small Cap Fund-Reg(G),Equity MF,EQ-SC,Equity : Small Cap,10423.0,1.82,42.24,24.46,35.32,0.93,17.22,-1.93,0.92
HDFC Flexi Cap Fund-Reg(G),Equity MF,EQ-FC,Equity : Flexi Cap,278.0,1.4,12.45,19.07,14.99,1.01,17.71,5.13,0.9
HDFC Large & Mid Cap Fund-Reg(G),Equity MF,EQ-MLC,Equity : Large & Mid Cap,9682.0,2.31,32.8,17.36,20.02,1.66,15.37,0.06,0.93
HDFC Multi Cap Fund-Reg(G),Equity MF,EQ-MCap,Equity : Multi Cap,9632.0,1.52,26.41,21.3,17.77,1.07,18.96,5.57,0.85
HDFC ELSS Tax Saver-Reg(G),Equity MF,EQ-ELSS,Equity : ELSS,27549.0,1.32,20.42,17.53,24.51,0.95,14.08,0.83,0.99
HDFC Focused Fund-Reg(G),Equity MF,EQ-FBS,Equity : Focused,13708.0,1.1,16.12,22.48,26.85,1.09,16.99,3.48,0.93
HDFC Value Fund-Reg(G),Equity MF,EQ-VAL,Equity : Value,1558.0,1.19,8.51,15.26,24.22,1.11,13.2,-0.42,1.02
HDFC Dividend Yield Fund-Reg(G),Equity MF,EQ-DIV,Equity : Dividend Yield,2409.0,1.66,15.94,19.23,19.38,0.61,11.75,-1.52,0.82
HDFC Nifty 50 Index Fund-Reg(G),Index Fund,EQ-IDX,Equity : Index,36315.0,0.15,24.32,11.41,20.64,1.38,20.41,0.54,1.0
HDFC Nifty Next 50 Index Fund-Reg(G),Index Fund,EQ-IDX,Equity : Index,40825.0,0.44,27.76,22.0,15.56,1.45,12.09,0.04,0.99
HDFC Nifty 100 Index Fund-Reg(G),Index Fund,EQ-IDX,Equity : Index,21775.0,0.16,7.34,21.7,21.54,1.05,16.48,0.41,0.98
HDFC Nifty 50 ETF,Index Fund,EQ-ETF,Equity : ETF,20456.0,0.21,26.5,12.36,22.49,0.62,19.72,-0.87,1.0
HDFC Nifty Bank ETF,Index Fund,EQ-ETF,Equity : ETF,27189.0,0.24,9.5,16.05,23.76,0.78,21.8,-0.33,0.98
HDFC Nifty IT ETF,Index Fund,EQ-ETF,Equity : ETF,10877.0,0.16,16.29,18.57,14.95,0.78,11.5,0.17,1.02
HDFC Nifty 100 ETF,Index Fund,EQ-ETF,Equity : ETF,13764.0,0.25,11.1,13.08,12.0,1.52,18.81,-0.11,1.01
HDFC Midcap Select ETF,Index Fund,EQ-ETF,Equity : ETF,363.0,0.04,5.5,18.48,22.82,0.89,20.23,-0.13,1.0
HDFC Banking Fund-Reg(G),Equity MF,EQ-SEC,Equity : Sectoral/Thematic,413.0,0.71,26.82,25.42,43.47,1.06,27.24,0.55,0.88
HDFC IT Fund-Reg(G),Equity MF,EQ-SEC,Equity : Sectoral/Thematic,26725.0,1.73,6.48,18.08,19.49,1.6,14.64,1.01,0.87
HDFC Pharma Fund-Reg(G),Equity MF,EQ-SEC,Equity : Sectoral/Thematic,7182.0,1.01,46.37,35.85,17.05,1.56,29.4,-2.45,0.72
HDFC Infrastructure Fund-Reg(G),Equity MF,EQ-SEC,Equity : Sectoral/Thematic,10986.0,1.84,33.08,27.93,31.31,0.99,26.94,9.8,0.78
HDFC International Fund-Reg(G),Equity MF,EQ-INT,Equity : International,1394.0,1.08,28.81,14.96,25.84,1.31,13.44,-2.12,0.71
HDFC Arbitrage Fund-Reg(G),Equity MF,EQ-ARB,Equity : Arbitrage,3685.0,0.84,7.02,6.89,6.54,1.66,1.15,0.13,0.08
ICICI Pru Large Cap Fund-Reg(G),Equity MF,EQ-LC,Equity : Large Cap,77472.0,0.69,8.24,16.15,18.64,1.34,13.62,0.65,0.87
ICICI Pru Mid Cap Fund-Reg(G),Equity MF,EQ-MC,Equity : Mid Cap,21932.0,2.2,20.61,15.87,24.38,1.1,16.05,3.68,1.06
ICICI Pru Small Cap Fund-Reg(G),Equity MF,EQ-SC,Equity : Small Cap,17332.0,0.77,32.48,28.92,23.7,0.5,18.98,1.08,1.04
ICICI Pru Flexi Cap Fund-Reg(G),Equity MF,EQ-FC,Equity : Flexi Cap,56057.0,2.19,18.03,24.49,14.23,0.96,14.23,5.02,1.08
ICICI Pru Large & Mid Cap Fund-Reg(G),Equity MF,EQ-MLC,Equity : Large & Mid Cap,17814.0,1.63,27.76,12.7,20.06,1.55,13.21,-1.73,0.88
ICICI Pru Multi Cap Fund-Reg(G),Equity MF,EQ-MCap,Equity : Multi Cap,8322.0,0.89,25.65,22.98,28.67,1.86,17.86,3.63,1.15
ICICI Pru ELSS Tax Saver-Reg(G),Equity MF,EQ-ELSS,Equity : ELSS,36955.0,2.5,31.52,15.04,16.19,1.12,12.47,3.03,0.95
ICICI Pru Focused Fund-Reg(G),Equity MF,EQ-FBS,Equity : Focused,3355.0,0.72,13.44,23.66,21.57,1.6,12.44,0.83,1.0
ICICI Pru Value Fund-Reg(G),Equity MF,EQ-VAL,Equity : Value,10036.0,1.53,23.22,12.63,13.36,0.79,13.32,2.57,1.02
ICICI Pru Contra Fund-Reg(G),Equity MF,EQ-CONT,Equity : Contra,1791.0,1.38,21.1,15.72,15.23,1.89,13.4,5.95,1.05
ICICI Pru Dividend Yield Fund-Reg(G),Equity MF,EQ-DIV,Equity : Dividend Yield,7235.0,0.98,15.43,16.95,16.48,1.42,12.52,3.22,0.83
ICICI Pru Nifty 50 Index Fund-Reg(G),Index Fund,EQ-IDX,Equity : Index,34699.0,0.36,6.87,17.44,11.36,0.64,17.27,-0.01,1.0
ICICI Pru Nifty Next 50 Index Fund-Reg(G),Index Fund,EQ-IDX,Equity : Index,32647.0,0.5,7.7,9.91,15.2,0.52,10.22,-0.07,1.0
ICICI Pru Nifty 100 Index Fund-Reg(G),Index Fund,EQ-IDX,Equity : Index,26416.0,0.41,8.11,20.45,15.25,1.06,10.96,0.34,1.01
ICICI Pru Nifty Midcap 150 Index Fund-Reg(G),Index Fund,EQ-IDX,Equity : Index,1223.0,0.4,26.46,21.76,11.06,0.77,13.22,0.75,1.01
ICICI Pru Nifty 50 ETF,Index Fund,EQ-ETF,Equity : ETF,27634.0,0.18,23.89,21.35,14.55,1.53,15.52,0.99,1.01
ICICI Pru Nifty Bank ETF,Index Fund,EQ-ETF,Equity : ETF,17950.0,0.3,27.41,19.81,21.82,0.7,20.83,0.39,0.98
ICICI Pru Nifty IT ETF,Index Fund,EQ-ETF,Equity : ETF,25298.0,0.36,12.67,14.13,18.91,0.66,11.62,-0.7,1.01
ICICI Pru Nifty 100 ETF,Index Fund,EQ-ETF,Equity : ETF,24138.0,0.01,5.62,18.16,22.09,0.92,15.5,0.6,0.98
ICICI Pru Midcap Select ETF,Index Fund,EQ-ETF,Equity : ETF,10499.0,0.44,27.39,13.69,15.89,0.98,19.14,0.86,1.01
ICICI Pru Banking Fund-Reg(G),Equity MF,EQ-SEC,Equity : Sectoral/Thematic,18508.0,2.35,48.03,20.33,12.98,1.24,17.04,7.69,1.2
ICICI Pru IT Fund-Reg(G),Equity MF,EQ-SEC,Equity : Sectoral/Thematic,3189.0,1.82,10.63,28.81,25.96,1.09,15.6,8.94,0.88
ICICI Pru Pharma Fund-Reg(G),Equity MF,EQ-SEC,Equity : Sectoral/Thematic,18036.0,1.83,8.95,13.08,34.55,0.84,14.61,8.62,0.73
ICICI Pru International Fund-Reg(G),Equity MF,EQ-INT,Equity : International,5239.0,1.56,20.17,12.98,11.19,1.33,22.06,2.94,1.1
ICICI Pru Arbitrage Fund-Reg(G),Equity MF,EQ-ARB,Equity : Arbitrage,1634.0,0.49,6.76,5.96,5.34,2.25,0.57,-0.48,0.02
Nippon India Large Cap Fund-Reg(G),Equity MF,EQ-LC,Equity : Large Cap,28101.0,1.26,26.55,17.88,15.22,1.31,10.54,4.74,0.97
Nippon India Mid Cap Fund-Reg(G),Equity MF,EQ-MC,Equity : Mid Cap,22829.0,1.5,25.7,24.3,29.99,0.63,17.78,-1.01,0.99
Nippon India Small Cap Fund-Reg(G),Equity MF,EQ-SC,Equity : Small Cap,15177.0,1.11,29.89,15.46,34.67,0.93,18.98,-0.64,0.89
Nippon India Flexi Cap Fund-Reg(G),Equity MF,EQ-FC,Equity : Flexi Cap,2170.0,0.91,16.21,19.49,15.05,1.01,14.68,5.21,0.88
Nippon India Large & Mid Cap Fund-Reg(G),Equity MF,EQ-MLC,Equity : Large & Mid Cap,18921.0,0.89,14.89,21.64,17.58,0.95,12.81,-1.52,1.04
Nippon India Multi Cap Fund-Reg(G),Equity MF,EQ-MCap,Equity : Multi Cap,6545.0,1.78,35.48,19.22,32.24,1.22,20.96,5.44,0.98
Nippon India ELSS Tax Saver-Reg(G),Equity MF,EQ-ELSS,Equity : ELSS,23458.0,1.03,31.8,19.99,22.78,1.77,15.73,-1.17,1.07
Nippon India Focused Fund-Reg(G),Equity MF,EQ-FBS,Equity : Focused,3770.0,1.58,28.42,21.25,24.4,0.72,16.4,1.63,1.0
Nippon India Value Fund-Reg(G),Equity MF,EQ-VAL,Equity : Value,18609.0,0.75,23.89,20.2,23.23,1.3,16.08,2.89,0.91
Nippon India Dividend Yield Fund-Reg(G),Equity MF,EQ-DIV,Equity : Dividend Yield,5910.0,1.11,6.97,11.12,18.81,1.51,13.54,2.88,0.84
Nippon India Nifty 50 Index Fund-Reg(G),Index Fund,EQ-IDX,Equity : Index,26294.0,0.37,14.9,16.91,18.48,0.93,20.82,0.31,0.98
Nippon India Nifty Next 50 Index Fund-Reg(G),Index Fund,EQ-IDX,Equity : Index,43445.0,0.31,21.26,18.8,18.1,0.82,16.9,0.38,1.0
Nippon India Nifty 100 Index Fund-Reg(G),Index Fund,EQ-IDX,Equity : Index,16030.0,0.31,13.63,20.07,20.58,0.77,15.78,-0.13,1.0
Nippon India Nifty Midcap 150 Index Fund-Reg(G),Index Fund,EQ-IDX,Equity : Index,14862.0,0.35,10.1,18.19,14.39,0.51,17.3,-0.13,1.02
Nippon India Nifty Smallcap 250 Index Fund-Reg(G),Index Fund,EQ-IDX,Equity : Index,12861.0,0.46,27.13,14.22,23.68,0.9,11.44,0.39,1.01
Nippon India Nifty 50 ETF,Index Fund,EQ-ETF,Equity : ETF,14808.0,0.28,24.49,16.57,11.75,0.68,20.55,-0.67,0.99
Nippon India Nifty Bank ETF,Index Fund,EQ-ETF,Equity : ETF,20756.0,0.15,9.49,16.95,16.57,0.75,19.13,0.05,0.98
Nippon India Nifty IT ETF,Index Fund,EQ-ETF,Equity : ETF,21572.0,0.42,23.85,21.7,12.45,0.87,14.35,-1.0,0.98
Nippon India Banking Fund-Reg(G),Equity MF,EQ-SEC,Equity : Sectoral/Thematic,8351.0,1.8,21.31,30.89,20.12,1.84,14.73,1.13,1.12
Nippon India IT Fund-Reg(G),Equity MF,EQ-SEC,Equity : Sectoral/Thematic,772.0,0.77,7.45,38.41,22.14,0.76,25.53,2.0,1.22
Nippon India Pharma Fund-Reg(G),Equity MF,EQ-SEC,Equity : Sectoral/Thematic,3450.0,0.81,11.16,32.42,43.0,1.76,29.35,0.43,0.85
Nippon India Infrastructure Fund-Reg(G),Equity MF,EQ-SEC,Equity : Sectoral/Thematic,1173.0,1.73,33.72,14.97,12.35,0.76,16.34,9.48,1.25
Nippon India Consumption Fund-Reg(G),Equity MF,EQ-SEC,Equity : Sectoral/Thematic,17509.0,1.04,45.55,27.68,20.49,0.68,23.22,9.73,1.2
Nippon India International Fund-Reg(G),Equity MF,EQ-INT,Equity : International,6319.0,1.72,29.92,18.86,32.2,0.41,19.78,-0.15,0.74
Nippon India Arbitrage Fund-Reg(G),Equity MF,EQ-ARB,Equity : Arbitrage,3885.0,1.05,7.82,5.03,5.72,2.49,1.51,0.37,0.11
Kotak Large Cap Fund-Reg(G),Equity MF,EQ-LC,Equity : Large Cap,55109.0,1.35,8.78,19.16,19.25,0.74,13.66,0.77,0.88
Kotak Mid Cap Fund-Reg(G),Equity MF,EQ-MC,Equity : Mid Cap,4106.0,2.11,28.81,21.0,16.04,1.4,14.36,1.99,0.95
Kotak Small Cap Fund-Reg(G),Equity MF,EQ-SC,Equity : Small Cap,17710.0,1.07,19.14,33.47,32.55,1.22,24.34,0.62,0.95
Kotak Flexi Cap Fund-Reg(G),Equity MF,EQ-FC,Equity : Flexi Cap,26261.0,1.96,18.72,22.32,18.28,1.32,14.57,5.53,0.85
Kotak Large & Mid Cap Fund-Reg(G),Equity MF,EQ-MLC,Equity : Large & Mid Cap,19837.0,2.2,9.01,26.87,25.25,0.84,18.83,5.67,0.94
Kotak Multi Cap Fund-Reg(G),Equity MF,EQ-MCap,Equity : Multi Cap,14378.0,2.05,33.88,13.03,17.06,1.55,20.6,4.09,0.9
Kotak ELSS Tax Saver-Reg(G),Equity MF,EQ-ELSS,Equity : ELSS,27949.0,2.04,30.46,14.69,26.44,1.55,17.43,1.27,1.0
Kotak Focused Fund-Reg(G),Equity MF,EQ-FBS,Equity : Focused,7459.0,1.39,11.46,26.19,26.49,1.48,19.87,0.49,0.85
Kotak Value Fund-Reg(G),Equity MF,EQ-VAL,Equity : Value,8981.0,1.11,15.04,10.07,24.38,1.15,12.9,-1.75,0.92
Kotak Contra Fund-Reg(G),Equity MF,EQ-CONT,Equity : Contra,1258.0,1.85,24.85,12.51,20.7,1.74,16.65,1.57,0.83
Kotak Nifty 50 Index Fund-Reg(G),Index Fund,EQ-IDX,Equity : Index,36806.0,0.29,17.11,13.42,12.24,0.96,15.44,0.84,1.0
Kotak Nifty Next 50 Index Fund-Reg(G),Index Fund,EQ-IDX,Equity : Index,562.0,0.34,17.01,14.41,23.38,1.23,17.93,0.44,0.99
Kotak Nifty 100 Index Fund-Reg(G),Index Fund,EQ-IDX,Equity : Index,29680.0,0.37,15.55,15.07,13.54,1.25,18.23,0.68,1.0
Kotak Nifty Midcap 150 Index Fund-Reg(G),Index Fund,EQ-IDX,Equity : Index,40744.0,0.14,17.56,11.54,22.24,1.41,20.17,-0.99,1.01
Kotak Nifty Smallcap 250 Index Fund-Reg(G),Index Fund,EQ-IDX,Equity : Index,33746.0,0.3,16.66,14.23,18.48,1.12,11.08,-0.74,0.98
Kotak Nifty 50 ETF,Index Fund,EQ-ETF,Equity : ETF,22201.0,0.1,9.96,10.96,13.73,1.6,19.31,-0.18,1.01
Kotak Nifty Bank ETF,Index Fund,EQ-ETF,Equity : ETF,558.0,0.42,10.07,12.02,14.75,0.54,17.47,0.92,0.99
Kotak Nifty IT ETF,Index Fund,EQ-ETF,Equity : ETF,15871.0,0.25,9.39,12.07,11.8,0.9,13.73,-0.14,0.99
Kotak Banking Fund-Reg(G),Equity MF,EQ-SEC,Equity : Sectoral/Thematic,16000.0,2.2,7.47,21.57,24.92,0.53,29.85,-2.45,1.23
Kotak IT Fund-Reg(G),Equity MF,EQ-SEC,Equity : Sectoral/Thematic,10168.0,1.41,13.93,31.97,40.73,1.09,26.75,-2.73,1.12
Kotak Pharma Fund-Reg(G),Equity MF,EQ-SEC,Equity : Sectoral/Thematic,23635.0,1.77,26.44,20.02,44.65,0.98,18.72,6.48,0.76
Kotak Infrastructure Fund-Reg(G),Equity MF,EQ-SEC,Equity : Sectoral/Thematic,3416.0,2.12,43.12,29.09,34.24,2.14,25.93,5.32,1.17
Kotak Arbitrage Fund-Reg(G),Equity MF,EQ-ARB,Equity : Arbitrage,9532.0,0.82,7.65,6.68,5.77,2.58,0.58,-0.33,0.11
Axis Large Cap Fund-Reg(G),Equity MF,EQ-LC,Equity : Large Cap,52075.0,1.01,22.97,10.05,20.93,0.97,15.01,-1.14,0.87
Axis Mid Cap Fund-Reg(G),Equity MF,EQ-MC,Equity : Mid Cap,7097.0,2.17,8.16,12.69,15.48,1.62,13.25,1.11,0.85
Axis Small Cap Fund-Reg(G),Equity MF,EQ-SC,Equity : Small Cap,1728.0,1.22,38.38,23.37,24.56,1.63,20.08,4.55,0.9
Axis Flexi Cap Fund-Reg(G),Equity MF,EQ-FC,Equity : Flexi Cap,40056.0,2.02,11.48,15.56,22.78,1.11,14.44,3.7,1.07
Axis Large & Mid Cap Fund-Reg(G),Equity MF,EQ-MLC,Equity : Large & Mid Cap,2234.0,1.18,13.32,26.28,29.81,1.49,15.07,4.22,0.95
Axis Multi Cap Fund-Reg(G),Equity MF,EQ-MCap,Equity : Multi Cap,1760.0,1.42,34.02,16.93,18.36,2.0,16.98,6.15,0.92
Axis ELSS Tax Saver-Reg(G),Equity MF,EQ-ELSS,Equity : ELSS,30344.0,2.35,26.91,22.65,18.97,1.01,17.16,3.42,0.88
Axis Focused Fund-Reg(G),Equity MF,EQ-FBS,Equity : Focused,7894.0,1.73,21.7,22.21,28.35,1.96,19.37,-1.49,0.92
Axis Value Fund-Reg(G),Equity MF,EQ-VAL,Equity : Value,11464.0,1.78,21.44,10.53,12.63,1.63,14.78,1.07,1.0
Axis Nifty 50 Index Fund-Reg(G),Index Fund,EQ-IDX,Equity : Index,42713.0,0.34,16.69,19.36,13.22,0.76,13.24,-0.06,1.02
Axis Nifty Next 50 Index Fund-Reg(G),Index Fund,EQ-IDX,Equity : Index,12232.0,0.29,6.41,9.88,12.03,1.36,15.98,-0.54,1.01
Axis Nifty 100 Index Fund-Reg(G),Index Fund,EQ-IDX,Equity : Index,36164.0,0.39,21.11,13.67,12.36,0.97,11.97,-0.74,0.98
Axis Nifty Midcap 150 Index Fund-Reg(G),Index Fund,EQ-IDX,Equity : Index,4133.0,0.07,18.0,19.4,21.3,1.25,19.51,0.89,1.0
Axis Nifty Smallcap 250 Index Fund-Reg(G),Index Fund,EQ-IDX,Equity : Index,22708.0,0.34,18.11,18.5,21.7,0.98,18.54,-0.86,0.99
Axis Nifty 50 ETF,Index Fund,EQ-ETF,Equity : ETF,3246.0,0.08,14.16,12.59,12.48,1.55,20.32,-0.97,0.99
Axis Nifty Bank ETF,Index Fund,EQ-ETF,Equity : ETF,9600.0,0.45,18.18,16.78,22.3,0.66,13.5,-0.57,1.0
Axis Nifty IT ETF,Index Fund,EQ-ETF,Equity : ETF,28806.0,0.26,10.78,14.4,18.92,1.04,21.73,0.52,0.99
Axis Nifty 100 ETF,Index Fund,EQ-ETF,Equity : ETF,29052.0,0.29,10.59,12.37,18.14,0.85,21.92,-0.06,1.0
Axis Midcap Select ETF,Index Fund,EQ-ETF,Equity : ETF,14850.0,0.39,19.29,19.46,20.69,0.73,17.33,0.15,1.02
Axis Banking Fund-Reg(G),Equity MF,EQ-SEC,Equity : Sectoral/Thematic,20129.0,1.95,21.85,31.47,41.47,2.32,26.98,0.46,0.79
Axis IT Fund-Reg(G),Equity MF,EQ-SEC,Equity : Sectoral/Thematic,16088.0,1.81,44.65,17.64,16.93,1.4,22.87,-0.62,1.3
Axis Pharma Fund-Reg(G),Equity MF,EQ-SEC,Equity : Sectoral/Thematic,3949.0,1.28,20.37,14.72,15.34,1.12,28.66,4.23,1.0
Axis Infrastructure Fund-Reg(G),Equity MF,EQ-SEC,Equity : Sectoral/Thematic,12272.0,1.41,21.93,15.6,40.79,2.2,28.54,-2.66,1.13
Axis Arbitrage Fund-Reg(G),Equity MF,EQ-ARB,Equity : Arbitrage,10034.0,0.61,6.7,6.25,5.24,2.0,1.72,0.12,0.13
Mirae Asset Large Cap Fund-Reg(G),Equity MF,EQ-LC,Equity : Large Cap,27678.0,0.91,6.82,19.32,23.82,1.59,10.04,0.32,0.9
Mirae Asset Mid Cap Fund-Reg(G),Equity MF,EQ-MC,Equity : Mid Cap,19662.0,2.37,13.48,23.0,22.09,0.67,13.75,5.74,0.91
Mirae Asset Small Cap Fund-Reg(G),Equity MF,EQ-SC,Equity : Small Cap,17899.0,0.74,18.29,31.52,16.69,0.53,25.99,4.59,0.92
Mirae Asset Flexi Cap Fund-Reg(G),Equity MF,EQ-FC,Equity : Flexi Cap,22384.0,1.25,17.64,20.94,25.39,0.67,12.83,-0.18,0.98
Mirae Asset Large & Mid Cap Fund-Reg(G),Equity MF,EQ-MLC,Equity : Large & Mid Cap,1118.0,0.8,34.98,21.98,17.41,1.34,16.77,1.87,1.09
Mirae Asset Multi Cap Fund-Reg(G),Equity MF,EQ-MCap,Equity : Multi Cap,2880.0,2.11,31.06,16.41,19.37,1.64,20.03,5.56,0.97
Mirae Asset ELSS Tax Saver-Reg(G),Equity MF,EQ-ELSS,Equity : ELSS,28641.0,0.98,7.56,19.92,14.73,1.44,11.13,2.14,0.91
Mirae Asset Focused Fund-Reg(G),Equity MF,EQ-FBS,Equity : Focused,6874.0,1.14,10.45,15.44,20.38,1.84,18.11,4.18,0.96
Mirae Asset Value Fund-Reg(G),Equity MF,EQ-VAL,Equity : Value,740.0,1.58,22.0,14.72,18.73,0.9,12.67,1.75,0.96
Mirae Asset Nifty 50 Index Fund-Reg(G),Index Fund,EQ-IDX,Equity : Index,47223.0,0.25,16.13,13.19,15.19,0.86,13.16,-0.01,0.99
Mirae Asset Nifty Next 50 Index Fund-Reg(G),Index Fund,EQ-IDX,Equity : Index,32321.0,0.16,10.36,19.72,15.86,0.85,17.52,-0.34,1.01
Mirae Asset Nifty 100 Index Fund-Reg(G),Index Fund,EQ-IDX,Equity : Index,3960.0,0.35,26.59,11.49,11.18,1.24,15.44,-0.44,1.01
Mirae Asset Nifty Midcap 150 Index Fund-Reg(G),Index Fund,EQ-IDX,Equity : Index,38587.0,0.37,9.08,13.99,23.78,0.96,11.54,0.61,1.01
Mirae Asset Nifty Smallcap 250 Index Fund-Reg(G),Index Fund,EQ-IDX,Equity : Index,21270.0,0.08,21.35,9.88,17.66,1.08,15.96,0.65,1.0
Mirae Asset Nifty 50 ETF,Index Fund,EQ-ETF,Equity : ETF,2110.0,0.03,22.43,14.83,15.21,1.16,16.28,0.58,0.99
Mirae Asset Nifty Bank ETF,Index Fund,EQ-ETF,Equity : ETF,20090.0,0.34,22.35,14.11,23.32,0.53,17.06,0.07,1.01
Mirae Asset Nifty IT ETF,Index Fund,EQ-ETF,Equity : ETF,13948.0,0.02,21.65,14.6,14.53,0.58,10.44,-0.9,1.0
Mirae Asset Banking Fund-Reg(G),Equity MF,EQ-SEC,Equity : Sectoral/Thematic,10302.0,1.01,48.24,26.57,26.36,0.43,23.74,-1.04,0.83
Mirae Asset IT Fund-Reg(G),Equity MF,EQ-SEC,Equity : Sectoral/Thematic,24262.0,0.58,23.51,34.58,28.68,0.98,19.51,6.18,0.82
Mirae Asset Pharma Fund-Reg(G),Equity MF,EQ-SEC,Equity : Sectoral/Thematic,29891.0,2.08,9.01,19.61,40.68,2.33,14.18,0.31,1.26
Mirae Asset Infrastructure Fund-Reg(G),Equity MF,EQ-SEC,Equity : Sectoral/Thematic,2095.0,1.26,22.55,17.53,31.02,0.92,14.51,-2.15,0.83
Mirae Asset International Fund-Reg(G),Equity MF,EQ-INT,Equity : International,1434.0,2.22,10.39,19.76,24.85,1.97,15.07,-2.37,1.06
Mirae Asset Arbitrage Fund-Reg(G),Equity MF,EQ-ARB,Equity : Arbitrage,1194.0,0.37,7.12,5.07,5.02,1.95,0.69,0.5,0.07
DSP Large Cap Fund-Reg(G),Equity MF,EQ-LC,Equity : Large Cap,17527.0,1.38,10.05,16.37,13.0,1.89,15.06,0.23,0.97
DSP Mid Cap Fund-Reg(G),Equity MF,EQ-MC,Equity : Mid Cap,28420.0,1.47,20.25,22.82,20.4,1.29,15.05,4.12,0.94
DSP Small Cap Fund-Reg(G),Equity MF,EQ-SC,Equity : Small Cap,7247.0,0.85,37.53,21.8,21.57,1.78,25.93,-1.97,0.91
